Date,Price,Max Price,,15% drop,10% drop,5% drop,2% drop
28-07-2020,39.78903005,40.57498766,0,0,0,0,0
28-07-2020,37.87326118,40.57498766,-5000,0,0,132,0
29-07-2020,39.29780963,40.57498766,-2500,0,0,0,64
29-07-2020,37.33291915,40.57498766,-5000,0,0,134,0
30-07-2020,39.05219903,40.57498766,-2500,0,0,0,64
30-07-2020,37.82414246,40.57498766,-5000,0,0,132,0
31-07-2020,39.59254012,40.57498766,-2500,0,0,0,63
31-07-2020,38.31536213,40.57498766,-5000,0,0,130,0
03-08-2020,39.39605263,40.57498766,-2500,0,0,0,63
03-08-2020,38.31536436,40.57498766,-5000,0,0,130,0
04-08-2020,39.6907857,40.57498766,-2500,0,0,0,63
04-08-2020,38.51185076,40.57498766,-5000,0,0,130,0
05-08-2020,40.28025484,40.57498766,0,0,0,0,0
05-08-2020,38.61009718,40.57498766,-2500,0,0,0,65
06-08-2020,39.64166607,40.57498766,-2500,0,0,0,63
06-08-2020,38.70834604,40.57498766,-2500,0,0,0,65
07-08-2020,40.23113523,40.57498766,0,0,0,0,0
07-08-2020,39.29781146,40.57498766,-2500,0,0,0,64
10-08-2020,40.57498649,40.57498766,0,0,0,0,0
10-08-2020,39.29780846,40.57498766,-2500,0,0,0,64
11-08-2020,40.28025709,40.57498766,0,0,0,0,0
11-08-2020,39.29781179,40.57498766,-2500,0,0,0,64
12-08-2020,40.4767444,40.57498766,0,0,0,0,0
12-08-2020,39.19956634,40.57498766,-2500,0,0,0,64
13-08-2020,40.03464439,40.57498766,0,0,0,0,0
13-08-2020,39.29781045,40.57498766,-2500,0,0,0,64
14-08-2020,40.28025484,40.57498766,0,0,0,0,0
14-08-2020,39.19956658,40.57498766,-2500,0,0,0,64
17-08-2020,40.28025596,40.57498766,0,0,0,0,0
17-08-2020,38.80658806,40.57498766,-2500,0,0,0,64
18-08-2020,40.13288906,40.57498766,0,0,0,0,0
18-08-2020,38.36448827,40.57498766,-5000,0,0,130,0
19-08-2020,39.78902871,40.57498766,0,0,0,0,0
19-08-2020,39.29780613,40.57498766,-2500,0,0,0,64
20-08-2020,39.59254387,40.57498766,-2500,0,0,0,63
20-08-2020,39.29781104,40.57498766,-2500,0,0,0,64
21-08-2020,39.78903198,40.57498766,0,0,0,0,0
21-08-2020,39.29780937,40.57498766,-2500,0,0,0,64
24-08-2020,40.18201502,40.57498766,0,0,0,0,0
24-08-2020,38.80659008,40.57498766,-2500,0,0,0,64
25-08-2020,39.78903222,40.57498766,0,0,0,0,0
25-08-2020,38.31536436,40.57498766,-5000,0,0,130,0
26-08-2020,40.28025436,40.57498766,0,0,0,0,0
26-08-2020,39.29780914,40.57498766,-2500,0,0,0,64
27-08-2020,40.52586746,40.57498766,0,0,0,0,0
27-08-2020,39.29781087,40.57498766,-2500,0,0,0,64
28-08-2020,44.21003659,0,0,0,0,0,0
28-08-2020,40.77147819,44.21003659,-5000,0,0,123,0
31-08-2020,41.26269985,44.21003659,-5000,0,0,121,0
31-08-2020,35.90837257,44.21003659,-20000,557,0,0,0
01-09-2020,40.13288948,44.21003659,-5000,0,0,125,0
01-09-2020,39.29781246,44.21003659,-10000,0,254,0,0
02-09-2020,39.78902871,44.21003659,-10000,0,251,0,0
02-09-2020,39.34692764,44.21003659,-10000,0,254,0,0
03-09-2020,39.78903164,44.21003659,-10000,0,251,0,0
03-09-2020,39.29780902,44.21003659,-10000,0,254,0,0
04-09-2020,40.18200827,44.21003659,-5000,0,0,124,0
04-09-2020,38.31536098,44.21003659,-10000,0,261,0,0
07-09-2020,40.18201182,44.21003659,-5000,0,0,124,0
07-09-2020,38.70834396,44.21003659,-10000,0,258,0,0
08-09-2020,39.29781079,44.21003659,-10000,0,254,0,0
08-09-2020,38.31536552,44.21003659,-10000,0,261,0,0
09-09-2020,39.59254242,44.21003659,-10000,0,253,0,0
09-09-2020,39.19956658,44.21003659,-10000,0,255,0,0
10-09-2020,40.28025484,44.21003659,-5000,0,0,124,0
10-09-2020,39.2978096,44.21003659,-10000,0,254,0,0
11-09-2020,40.23113333,44.21003659,-5000,0,0,124,0
11-09-2020,39.2978096,44.21003659,-10000,0,254,0,0
14-09-2020,39.49430145,44.21003659,-10000,0,253,0,0
14-09-2020,38.31536635,44.21003659,-10000,0,261,0,0
15-09-2020,39.73991251,44.21003659,-10000,0,252,0,0
15-09-2020,39.29781138,44.21003659,-10000,0,254,0,0
16-09-2020,40.28025701,44.21003659,-5000,0,0,124,0
16-09-2020,38.85571059,44.21003659,-10000,0,257,0,0
17-09-2020,40.23113523,44.21003659,-5000,0,0,124,0
17-09-2020,39.7890341,44.21003659,-5000,0,0,126,0
18-09-2020,40.28025484,44.21003659,-5000,0,0,124,0
18-09-2020,39.2978096,44.21003659,-10000,0,254,0,0
21-09-2020,40.08376544,44.21003659,-5000,0,0,125,0
21-09-2020,37.5785308,44.21003659,-20000,532,0,0,0
22-09-2020,39.1013194,44.21003659,-10000,0,256,0,0
22-09-2020,36.35047351,44.21003659,-20000,550,0,0,0
23-09-2020,39.73991285,44.21003659,-10000,0,252,0,0
23-09-2020,38.95395736,44.21003659,-10000,0,257,0,0
24-09-2020,39.73991071,44.21003659,-10000,0,252,0,0
24-09-2020,39.19956658,44.21003659,-10000,0,255,0,0
25-09-2020,40.28025436,44.21003659,-5000,0,0,124,0
25-09-2020,39.29780914,44.21003659,-10000,0,254,0,0
28-09-2020,40.37849727,44.21003659,-5000,0,0,124,0
28-09-2020,39.64166335,44.21003659,-10000,0,252,0,0
29-09-2020,40.28025631,44.21003659,-5000,0,0,124,0
29-09-2020,39.39605407,44.21003659,-10000,0,254,0,0
30-09-2020,39.78903292,44.21003659,-10000,0,251,0,0
30-09-2020,39.29781029,44.21003659,-10000,0,254,0,0
01-10-2020,42.63812929,44.21003659,-2500,0,0,0,59
01-10-2020,39.73991479,44.21003659,-10000,0,252,0,0
05-10-2020,42.68724911,44.21003659,-2500,0,0,0,59
05-10-2020,40.86972305,44.21003659,-5000,0,0,122,0
